Provincia,Latitud,Longitud
Buenos Aires,-36.6769415180527,-60.5588319815719
Capital Federal,-34.6144934119689,-58.4458563545429
Catamarca,-27.3358332810217,-66.9476824299928
Chaco,-26.3864309061226,-60.7658307438603
Chubut,-43.7886233529878,-68.5267593943345
Corrientes,-28.7743047046407,-57.8012191977913
Córdoba,-32.142932663607,-63.8017532741662
Entre Ríos,-32.0588735436448,-59.2014475514635
Formosa,-24.894972594871,-59.9324405800872
Jujuy,-24.7859,-65.41166
La Pampa,-37.1315537735949,-65.4466546606951
La Rioja,-29.685776298315,-67.1817359694432
Mendoza,-34.6298873058957,-68.5831228183798
Misiones,-26.8753965086829,-54.6516966230371
Neuquén,-38.6417575824599,-70.1185705180601
Río Negro,-40.4057957178801,-67.229329893694
Salta,-24.2991344492002,-64.8144629600627
San Juan,-30.8653679979618,-68.8894908486844
San Luis,-33.7577257449137,-66.0281298195836
Santa Cruz,-48.8154851827063,-69.9557621671973
Santa Fe,-30.7069271588117,-60.9498369430241
Santiago del Estero,-27.7824116550944,-63.2523866568588
Tierra del Fuego,-54.81084,-68.31591
Tucumán,-26.9478001830786,-65.3647579441481
