Año,Provincia,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,OtrosTecno,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OtrosVel,Total
2022,Buenos Aires,78.11,339648,2748325,1436433,126846,70416,70.19,29985,27709,290315,297915,267044,124190,3618689,65821,4721668
2022,Capital Federal,122.28,140791,1240125,129218,5758,31787,101.05,517,5742,34371,67829,51946,28692,1253105,105477,1547679
2022,Catamarca,65.33,10010,10495,46224,1329,2235,60.99,71,384,3107,5389,5099,3737,50298,2208,70293
2022,Chaco,43.86,27164,61800,44645,8178,2359,53.21,461,987,16782,18938,8049,15828,79390,3711,144146
2022,Chubut,84.38,45377,72212,9574,29784,8831,15.57,109,1444,45707,30940,34682,15309,17563,20024,165778
2022,Córdoba,88.31,163770,465461,338570,61070,9797,56.32,99,11312,153324,111615,70989,27112,650344,13873,1038668
2022,Corrientes,48.21,36508,77140,18619,7256,5323,45.07,67,3865,23427,23948,7776,21706,56950,7107,144846
2022,Entre Ríos,63.67,60345,132952,36971,26098,12593,42.49,107,5549,47210,46855,18263,32021,102195,16759,268959
2022,Formosa,43.76,14470,25880,11041,16935,212,30.35,97,307,23538,19545,6194,564,17704,589,68538
2022,Jujuy,58.91,19257,52978,40172,4033,2383,32.43,58,1879,19135,15254,36083,519,45895,0,118823
2022,La Pampa,96.59,7796,60078,23551,20216,4451,18.1,68,1887,61540,9653,11592,5609,22731,3012,116092
2022,La Rioja,80.66,6842,53899,19697,6395,31,44.3,18,689,2842,3375,24219,5331,50390,0,86864
2022,Mendoza,51.03,37659,78858,142615,27625,2766,34.16,103,2953,44232,21977,48201,17243,150043,4771,289523
2022,Misiones,51.82,35513,88902,39046,11074,7622,49.3,51,3749,36628,20758,12676,19615,80330,8350,182157
2022,Neuquén,80.37,29352,75815,29396,27482,1116,47.81,134,991,38485,14080,9200,6700,78713,14858,163161
2022,Río Negro,67.98,35552,48260,41017,16760,18969,34.13,111,1221,32936,17860,27934,13629,42596,24271,160558
2022,Salta,57.76,40006,96984,50254,10082,7215,41.33,114,1490,32923,71199,5662,1001,85661,6491,204541
2022,San Juan,50.8,38570,22723,12328,21860,7918,15.84,24,2027,30324,11247,22157,6780,19221,11619,103399
2022,San Luis,81.74,6860,29363,248,70614,14985,19.33,60,307,6563,20813,12061,67438,13,14815,122070
2022,Santa Cruz,43.19,10170,24047,10815,3896,582,12.6,52,6841,12342,11313,11378,2333,4604,647,49510
2022,Santa Fe,78.55,183740,426255,215189,43079,19547,45.15,468,11132,132709,198588,70897,57455,396352,20209,887810
2022,Santiago Del Estero,47.98,15385,80937,13170,6618,2922,17.69,178,1384,28357,58982,16087,910,12342,792,119032
2022,Tierra Del Fuego,99.51,12754,39963,403,125,651,11.01,22,831,12002,14815,20102,1752,1021,3351,53896
2022,Tucumán,61.14,77738,18518,162345,3997,519,53.36,39,2047,32571,39018,25214,4348,159600,280,263117
