Provincia,Dial up,ADSL,WIMAX,Cable modem,Fibra optica,Satelital,Wireless,OtrosTecno,TotalTecno,Hasta 2 Mbps,Entre 2.2 Mbps y 4 Mbps,Entre 4.5 Mbps y 8 Mbps,Entre 9 Mbps y 16 Mbps,Entre 17 Mbps y 32 Mbps,Entre 34 Mbps y 64 Mbps,Entre 64 Mbps y 126 Mbps,Entre 140 Mbps y 256 Mbps,Entre 275 Mbps y 512 Mbps,Mas de 512 Mbps,OtrosVel,TotalVel
Buenos Aires,6198,339214,1672,2746923,1435445,1302,126100,31052,4687906,53219,116502,230712,331741,995288,1368427,1082932,229988,197516,18032,25725,4650082
Capital Federal,2145,140791,0,1240125,129218,57,5758,29585,1547679,6587,17505,33196,84396,100468,459036,521039,74160,131205,14609,460,1442661
Catamarca,1,10010,0,10495,46224,82,1329,2152,70293,570,1147,1847,6800,7423,31597,16458,42,2200,1,2208,70293
Chaco,5,27164,0,61768,44645,73,8178,1218,143051,2217,4997,11768,22018,20002,45614,29199,0,4521,45,1036,141417
Chubut,903,43244,0,72211,8862,116,29507,7796,162639,5362,21670,29912,51823,17288,16121,425,1,26,0,15047,157675
Cordoba,68,163111,58,465461,338540,100,58774,7986,1034098,20206,58903,99659,136149,58346,371887,242261,312,35197,560,12769,1036249
Corrientes,4,36508,59,77140,18619,86,7256,5144,144816,6891,9130,14259,23941,26583,28688,24343,0,3844,60,6967,144706
Entre Rios,22,60310,224,132952,36971,27,25892,5121,261519,10218,13624,31497,52117,42382,53443,42947,1,5690,96,9777,261792
Formosa,1,14470,0,25880,11041,49,16759,154,68354,2251,12845,8776,20323,5870,7821,8634,0,1230,15,579,68344
Jujuy,0,19257,0,52923,40071,96,4033,1199,117579,3571,8125,10382,38008,12839,37042,7849,1,995,8,601,119421
La Pampa,171,7796,0,60077,23550,74,20216,4206,116090,5897,13650,45783,14764,10257,20185,2508,0,35,0,2729,115808
La Rioja,4,6842,0,53899,19697,19,6383,7,86851,714,829,2092,19640,13200,37693,11975,137,581,2,3,86866
Mendoza,777,37659,0,78858,142585,50,27381,1932,289242,7557,17183,34315,48179,73264,83513,17550,16,2786,2,3812,288177
Misiones,0,35513,0,88902,39046,45,11074,2759,177339,14873,6863,19319,23570,28865,39163,32757,3852,4485,54,2717,176518
Neuquen,468,29352,94,75815,29396,139,27482,412,163158,2683,19054,24592,13487,21423,34381,27069,244,5299,68,12069,160369
Rio Negro,548,35552,0,48260,41017,211,16648,18209,160445,4266,17427,21995,28122,27109,19026,15863,42,2260,176,22919,159205
Salta,5,40006,0,96984,50254,145,10082,7048,204524,3155,16082,21131,67864,4169,47795,32772,0,5050,29,6362,204409
San Juan,281,38570,0,22723,12328,44,21826,6576,102348,3454,23859,15609,22062,17641,8736,400,0,14,0,3744,95519
San Luis,182,6860,0,29363,248,34,70614,14669,121970,437,2661,6287,30170,67659,11,0,0,0,0,14447,121672
Santa Cruz,198,10170,0,24047,10815,83,3896,301,49510,9192,5822,6556,18920,3776,4343,254,0,0,0,392,49255
Santa Fe,110,183605,0,426255,215189,109,42886,16589,884743,21293,42405,95752,206646,104940,207482,166359,883,21260,225,14706,881951
Santiago Del Estero,2,15385,0,80937,13170,127,6610,2479,118710,2245,12227,16882,70383,4157,4781,6929,0,623,9,792,119028
Tierra Del Fuego,312,12754,0,39963,403,23,125,316,53896,854,5881,15417,25345,2062,903,48,33,1,1,2908,53453
Tucuman,30,77738,0,18518,162345,35,3997,444,263107,2204,11129,21620,51187,17087,88472,64153,4,6951,20,200,263027
