Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,OtrosTecno,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OtrosVel,Total
2022,3,Buenos Aires,26.37,78.11,4715469,6199,339648,2748325,1436433,126846,70416,70.19,29985,27709,290315,297915,267044,124190,3618689,65821,4721668
2022,3,Capital Federal,50.22,122.28,1545534,2145,140791,1240125,129218,5758,31787,101.05,517,5742,34371,67829,51946,28692,1253105,105477,1547679
2022,3,Catamarca,16.62,65.33,70292,1,10010,10495,46224,1329,2235,60.99,71,384,3107,5389,5099,3737,50298,2208,70293
2022,3,Chaco,11.72,43.86,144141,5,27164,61800,44645,8178,2359,53.21,461,987,16782,18938,8049,15828,79390,3711,144146
2022,3,Chubut,25.86,84.38,164874,904,45377,72212,9574,29784,8831,15.57,109,1444,45707,30940,34682,15309,17563,20024,165778
2022,3,Córdoba,27.04,88.31,1038600,68,163770,465461,338570,61070,9797,56.32,99,11312,153324,111615,70989,27112,650344,13873,1038668
2022,3,Corrientes,12.69,48.21,144842,4,36508,77140,18619,7256,5323,45.07,67,3865,23427,23948,7776,21706,56950,7107,144846
2022,3,Entre Ríos,19.04,63.67,268937,22,60345,132952,36971,26098,12593,42.49,107,5549,47210,46855,18263,32021,102195,16759,268959
2022,3,Formosa,11.14,43.76,68537,1,14470,25880,11041,16935,212,30.35,97,307,23538,19545,6194,564,17704,589,68538
2022,3,Jujuy,15.06,58.91,118823,0,19257,52978,40172,4033,2383,32.43,58,1879,19135,15254,36083,519,45895,0,118823
2022,3,La Pampa,31.82,96.59,115921,171,7796,60078,23551,20216,4451,18.1,68,1887,61540,9653,11592,5609,22731,3012,116092
2022,3,La Rioja,21.47,80.66,86860,4,6842,53899,19697,6395,31,44.3,18,689,2842,3375,24219,5331,50390,0,86864
2022,3,Mendoza,14.24,51.03,288746,777,37659,78858,142615,27625,2766,34.16,103,2953,44232,21977,48201,17243,150043,4771,289523
2022,3,Misiones,14.11,51.82,182157,0,35513,88902,39046,11074,7622,49.3,51,3749,36628,20758,12676,19615,80330,8350,182157
2022,3,Neuquén,23.92,80.37,162693,468,29352,75815,29396,27482,1116,47.81,134,991,38485,14080,9200,6700,78713,14858,163161
2022,3,Río Negro,20.91,67.98,160010,548,35552,48260,41017,16760,18969,34.13,111,1221,32936,17860,27934,13629,42596,24271,160558
2022,3,Salta,13.99,57.76,204536,5,40006,96984,50254,10082,7215,41.33,114,1490,32923,71199,5662,1001,85661,6491,204541
2022,3,San Juan,12.94,50.8,103118,281,38570,22723,12328,21860,7918,15.84,24,2027,30324,11247,22157,6780,19221,11619,103399
2022,3,San Luis,23.39,81.74,121888,182,6860,29363,248,70614,14985,19.33,60,307,6563,20813,12061,67438,13,14815,122070
2022,3,Santa Cruz,12.85,43.19,49312,198,10170,24047,10815,3896,582,12.6,52,6841,12342,11313,11378,2333,4604,647,49510
2022,3,Santa Fe,24.7,78.55,887700,110,183740,426255,215189,43079,19547,45.15,468,11132,132709,198588,70897,57455,396352,20209,887810
2022,3,Santiago Del Estero,11.91,47.98,119030,2,15385,80937,13170,6618,2922,17.69,178,1384,28357,58982,16087,910,12342,792,119032
2022,3,Tierra Del Fuego,29.5,99.51,53584,312,12754,39963,403,125,651,11.01,22,831,12002,14815,20102,1752,1021,3351,53896
2022,3,Tucumán,15.14,61.14,263087,30,77738,18518,162345,3997,519,53.36,39,2047,32571,39018,25214,4348,159600,280,263117
2022,2,Buenos Aires,26.12927127832741,77.58,4660984,6199,350652,2719613,1399043,126847,71028,65.5,30639,28323,295238,307554,273954,129869,3535757,65849,4667183
2022,2,Capital Federal,49.873561256261084,121.31,1534626,2145,145491,1232226,121506,5757,31791,93.97,517,5980,36036,72434,55372,31571,1229254,105607,1536771
2022,2,Catamarca,15.871790195247085,62.4,67007,1,11928,9430,42087,1329,2234,56.56,71,413,3678,6155,7165,3393,43926,2207,67008
2022,2,Chaco,11.70254390369554,43.79,143559,5,29552,61284,42194,8178,2356,50.61,461,1047,17603,20109,8391,15974,76271,3708,143564
2022,2,Chubut,25.499919336270644,83.19,161901,904,45377,69242,9574,29784,8828,14.91,109,1444,45804,31217,34290,14526,15394,20021,162805
2022,2,Córdoba,26.781590841133493,87.48,1026367,68,179181,467595,308895,61107,9657,53.51,99,11971,160486,120485,71923,28645,619400,13426,1026435
2022,2,Corrientes,12.732146965383649,48.35,144993,4,38468,75769,18181,7256,5323,43.31,67,3937,24253,24842,8001,21719,55071,7107,144997
2022,2,Entre Ríos,19.10468595065942,63.9,269330,22,63794,131029,35839,26098,12592,40.03,107,5656,48637,48557,18512,32355,98769,16759,269352
2022,2,Formosa,11.049814591140093,43.42,67881,0,15397,25487,9875,16910,212,28.47,97,407,23834,19706,6330,591,16326,590,67881
2022,2,Jujuy,14.656913524540677,57.32,115314,0,20303,54495,34184,3955,2377,29.39,58,1829,19458,15790,37786,549,37391,2453,115314
2022,2,La Pampa,30.632721559665786,92.98,111356,171,7796,59273,22994,20200,1264,16.07,68,1887,62546,9842,11800,5247,17125,3012,111527
2022,2,La Rioja,21.331409216914373,80.14,86026,4,7759,52656,19189,6395,31,43.28,18,728,3179,3890,23814,5481,48920,0,86030
2022,2,Mendoza,13.782233784570575,49.39,278785,777,37663,77504,135504,26964,1927,29.72,103,2954,44961,22557,64138,19543,121366,3940,279562
2022,2,Misiones,13.89002818196789,51.0,178813,0,37208,89260,33649,11074,7622,46.23,51,3808,37254,21712,12774,19757,75107,8350,178813
2022,2,Neuquén,23.81745752817118,80.02,161500,468,29749,74905,28824,27371,1119,46.53,134,999,38826,15066,9205,2039,76982,18717,161968
2022,2,Río Negro,20.867543527383393,67.85,159216,548,36050,47040,40946,16760,18968,33.26,111,1227,33364,17938,27168,13714,41972,24270,159764
2022,2,Salta,13.936010557448652,57.54,203172,5,42665,96178,47076,10068,7190,38.77,114,1530,33732,72661,6012,1156,81478,6494,203177
2022,2,San Juan,12.597912455631214,49.46,100126,281,38570,19734,12328,21859,7916,14.44,24,2027,30385,11276,24649,3728,16701,11617,100407
2022,2,San Luis,23.396972678771853,81.76,121559,182,6860,29034,248,70614,14985,19.32,60,306,6840,21217,11052,67438,13,14815,121741
2022,2,Santa Cruz,12.83962283852644,43.15,48987,198,10170,23725,10815,3896,579,11.81,52,6841,12348,11369,11885,2454,3592,644,49185
2022,2,Santa Fe,24.495906799164608,77.9,878749,110,198492,428233,189503,43081,19550,42.01,468,11757,138534,204381,74133,58114,373888,17584,878859
2022,2,Santiago Del Estero,11.836737968128928,47.7,118042,2,16561,80338,11605,6618,2922,16.34,178,1401,29581,59931,14606,883,10672,792,118044
2022,2,Tierra Del Fuego,29.60495526496903,99.86,53458,312,12754,39837,403,125,651,10.97,22,831,12052,14828,19968,1712,1006,3351,53770
2022,2,Tucumán,14.6914572899128,59.31,254497,30,85893,15327,148823,3997,487,50.09,39,2195,34461,43513,23634,4863,145541,281,254527
2022,1,Buenos Aires,25.563030152028354,76.07814661157262,4549131,6293,392045,2728865,1242121,125521,66872,62.51,31591,30056,313382,321756,290127,161183,3381049,26280,4555424
2022,1,Capital Federal,46.01434762144353,111.79786269174652,1415378,2163,102290,1217225,62308,5784,29934,88.22,527,5575,39918,77390,61053,43289,1188072,1717,1417541
2022,1,Catamarca,14.805619574995312,58.20635083561171,62377,1,14181,15517,29118,1328,2234,51.22,71,456,4386,7009,8773,3761,35715,2207,62378
2022,1,Chaco,11.775342040436145,44.05948009941883,144114,5,32391,64546,36662,8164,2356,45.84,461,1099,16888,21235,20898,13012,62946,7580,144119
2022,1,Chubut,26.988759663104396,88.05274093835774,170701,927,44133,66667,9184,30592,21052,13.4,113,1677,61369,31856,33080,13871,14055,15607,171628
2022,1,Córdoba,26.255262218351167,85.75745356313551,1003729,74,195610,501799,235838,60843,9713,49.89,100,12782,165922,126009,73967,34892,577027,13104,1003803
2022,1,Corrientes,12.545281287312793,47.644635141502334,142574,4,40462,79093,10875,6774,5374,38.11,67,4029,24563,25665,27077,10452,43631,7094,142578
2022,1,Entre Ríos,19.04540527092108,63.70090347123158,267904,22,67159,138986,23091,26098,12592,35.59,107,5745,50075,49620,42294,21578,81757,16750,267926
2022,1,Formosa,8.896427435598431,34.955686995751336,54548,0,16397,15927,5146,16876,202,30.28,97,448,24113,6945,6613,716,15028,588,54548
2022,1,Jujuy,14.847641828629394,58.06462866426784,116509,0,21307,60616,25949,4662,3975,27.69,58,1761,22141,16321,37923,576,35287,2442,116509
2022,1,La Pampa,30.200415031402574,91.66332531408715,109560,172,8003,58978,21739,19903,1109,14.84,301,2223,62812,9869,12044,5250,14400,2833,109732
2022,1,La Rioja,20.96917417226944,78.77459866564503,84299,4,9103,59228,9546,6395,31,41.37,18,778,3576,4692,23624,5645,45970,0,84303
2022,1,Mendoza,13.5994765497552,48.73524093558345,274399,786,49464,74145,123228,26969,1379,26.2,114,3355,51230,26407,74178,21566,95048,3287,275185
2022,1,Misiones,13.357539336702546,49.04334199772953,171508,0,39147,91752,25178,7807,7624,41.87,51,3873,35655,22261,26855,15854,58610,8349,171508
2022,1,Neuquén,22.07746042609429,74.17305509992715,149208,471,28443,73200,24193,23098,745,43.05,137,1123,39856,15623,11163,2654,71238,7885,149679
2022,1,Río Negro,20.61822984084394,67.03640754987029,156821,553,38662,45366,38037,16815,18494,31.09,116,1383,35565,18859,26926,14144,37729,22652,157374
